survey_year,indicator,category,label,value
1993,stunting,Sex,Male,35.9
1993,stunting,Sex,Female,29.1
1993,stunting,Age in months,<6,13.5
1993,stunting,Age in months,6-8,14.8
1993,stunting,Age in months,9-11,10.5
1993,stunting,Age in months,12-17,28.9
1993,stunting,Age in months,18-23,45
1993,stunting,Age in months,24-35,51
1993,stunting,Residence,Urban,21.4
1993,stunting,Residence,Rural,35.5
1993,stunting,Education,No education,37
1993,stunting,Education,Primary,31.7
1993,stunting,Education,Secondary,12.6
1993,stunting,Education (2 groups),No education or primary,33.8
1993,stunting,Education (2 groups),Secondary or higher,11.8
1993,stunting,Wealth quintile,Lowest,42.8
1993,stunting,Wealth quintile,Second,35.1
1993,stunting,Wealth quintile,Middle,36.3
1993,stunting,Wealth quintile,Fourth,30.3
1993,stunting,Wealth quintile,Highest,15.8
1993,stunting,Mother's interview status,Interviewed,32.5
1993,stunting,Size at birth,Very small,44.7
1993,stunting,Size at birth,Small,42.7
1993,stunting,Size at birth,Average or larger,30.9
1993,stunting,Birth interval,First birth,35.3
1993,stunting,Birth interval,Less than 24 months,42.4
1993,stunting,Birth interval,24-47 months,33.4
1993,stunting,Birth interval,48+ months,25.2
1993,stunting,Mother's nutritional status,Thin (BMI < 18.5),41.6
1993,stunting,Mother's nutritional status,Normal (BMI 18.5-24.9),32.1
1993,stunting,Mother's nutritional status,Overweight/ obese (BMI >= 25.0),20.8
1993,stunting,Region,Western (pre 2022),37.9
1993,stunting,Region,Central,29.1
1993,stunting,Region,Greater Accra,20
1993,stunting,Region,Volta (pre 2022),26.2
1993,stunting,Region,Eastern,32
1993,stunting,Region,Ashanti,34.9
1993,stunting,Region,Brong-Ahafo,32.4
1993,stunting,Region,"Northern, Upper West, Upper East",39.3
1993,stunting,Region,..Northern (pre 2022),44.1
1993,stunting,Region,..Upper West,44.3
1993,stunting,Region,..Upper East,30.6
1998,stunting,Sex,Male,33
1998,stunting,Sex,Female,28.3
1998,stunting,Age in months,<6,6.9
1998,stunting,Age in months,6-8,8
1998,stunting,Age in months,9-11,15
1998,stunting,Age in months,12-17,24.2
1998,stunting,Age in months,18-23,35.7
1998,stunting,Age in months,24-35,37.5
1998,stunting,Age in months,36-47,42.8
1998,stunting,Age in months,48-59,37.8
1998,stunting,Residence,Urban,17.5
1998,stunting,Residence,Rural,32.2
1998,stunting,Education,No education,37.5
1998,stunting,Education,Primary,31.6
1998,stunting,Education,Secondary,24.5
1998,stunting,Education,Higher,7.5
1998,stunting,Education (2 groups),No education or primary,35.4
1998,stunting,Education (2 groups),Secondary or higher,24
1998,stunting,Wealth quintile,Lowest,39.7
1998,stunting,Wealth quintile,Second,34.7
1998,stunting,Wealth quintile,Middle,33.1
1998,stunting,Wealth quintile,Fourth,20.5
1998,stunting,Wealth quintile,Highest,16.3
1998,stunting,Mother's interview status,Interviewed,30.6
1998,stunting,Size at birth,Very small,46.4
1998,stunting,Size at birth,Small,44.4
1998,stunting,Size at birth,Average or larger,28.4
1998,stunting,Birth interval,First birth,28.2
1998,stunting,Birth interval,Less than 24 months,38.6
1998,stunting,Birth interval,24-47 months,34.1
1998,stunting,Birth interval,48+ months,23.2
1998,stunting,Mother's nutritional status,Thin (BMI < 18.5),33.8
1998,stunting,Mother's nutritional status,Normal (BMI 18.5-24.9),31.9
1998,stunting,Mother's nutritional status,Overweight/ obese (BMI >= 25.0),19.7
1998,stunting,Region,Western (pre 2022),32.7
1998,stunting,Region,Central,32.5
1998,stunting,Region,Greater Accra,14
1998,stunting,Region,Volta (pre 2022),28.6
1998,stunting,Region,Eastern,28.3
1998,stunting,Region,Ashanti,33.5
1998,stunting,Region,Brong-Ahafo,22.4
1998,stunting,Region,"Northern, Upper West, Upper East",43.2
1998,stunting,Region,..Northern (pre 2022),45
1998,stunting,Region,..Upper West,39.9
1998,stunting,Region,..Upper East,42.9
2008,stunting,Sex,Male,29.6
2008,stunting,Sex,Female,26.2
2008,stunting,Age in months,<6,4.3
2008,stunting,Age in months,6-8,10.3
2008,stunting,Age in months,9-11,16.7
2008,stunting,Age in months,12-17,22.5
2008,stunting,Age in months,18-23,39.9
2008,stunting,Age in months,24-35,32.6
2008,stunting,Age in months,36-47,33.4
2008,stunting,Age in months,48-59,32.3
2008,stunting,Residence,Urban,21.1
2008,stunting,Residence,Rural,32.3
2008,stunting,Education,No education,29.6
2008,stunting,Education,Primary,31.5
2008,stunting,Education,Secondary,24.2
2008,stunting,Education,Higher,12.5
2008,stunting,Education (2 groups),No education or primary,30.4
2008,stunting,Education (2 groups),Secondary or higher,23.6
2008,stunting,Wealth quintile,Lowest,35.1
2008,stunting,Wealth quintile,Second,34.1
2008,stunting,Wealth quintile,Middle,28.3
2008,stunting,Wealth quintile,Fourth,21.4
2008,stunting,Wealth quintile,Highest,14.4
2008,stunting,Mother's interview status,Interviewed,27.5
2008,stunting,Mother's interview status,Not interviewed but in household,30.3
2008,stunting,Mother's interview status,Not interviewed and not in household,32.7
2008,stunting,Size at birth,Very small,38.2
2008,stunting,Size at birth,Small,34.1
2008,stunting,Size at birth,Average or larger,26.2
2008,stunting,Birth interval,First birth,29.7
2008,stunting,Birth interval,Less than 24 months,33.9
2008,stunting,Birth interval,24-47 months,28.3
2008,stunting,Birth interval,48+ months,21.8
2008,stunting,Mother's nutritional status,Thin (BMI < 18.5),32.2
2008,stunting,Mother's nutritional status,Normal (BMI 18.5-24.9),31
2008,stunting,Mother's nutritional status,Overweight/ obese (BMI >= 25.0),18.2
2008,stunting,Region,Western (pre 2022),27
2008,stunting,Region,Central,33.7
2008,stunting,Region,Greater Accra,14.2
2008,stunting,Region,Volta (pre 2022),26.8
2008,stunting,Region,Eastern,37.9
2008,stunting,Region,Ashanti,26.5
2008,stunting,Region,Brong-Ahafo,25.2
2008,stunting,Region,"Northern, Upper West, Upper East",32.2
2008,stunting,Region,..Northern (pre 2022),32.4
2008,stunting,Region,..Upper West,24.6
2008,stunting,Region,..Upper East,36
2014,stunting,Sex,Male,20.4
2014,stunting,Sex,Female,17
2014,stunting,Age in months,<6,8
2014,stunting,Age in months,6-8,5.9
2014,stunting,Age in months,9-11,10.5
2014,stunting,Age in months,12-17,12.7
2014,stunting,Age in months,18-23,21.9
2014,stunting,Age in months,24-35,28.2
2014,stunting,Age in months,36-47,22.9
2014,stunting,Age in months,48-59,17.7
2014,stunting,Residence,Urban,14.8
2014,stunting,Residence,Rural,22.1
2014,stunting,Education,No education,26.1
2014,stunting,Education,Primary,19.8
2014,stunting,Education,Secondary,13.4
2014,stunting,Education,Higher,4.3
2014,stunting,Education (2 groups),No education or primary,23.5
2014,stunting,Education (2 groups),Secondary or higher,12.8
2014,stunting,Wealth quintile,Lowest,24.8
2014,stunting,Wealth quintile,Second,25.5
2014,stunting,Wealth quintile,Middle,17.9
2014,stunting,Wealth quintile,Fourth,14.4
